1;37;68
10;13;17
10;52;17
11;24;63
11;26;57
11;43;48
12;44;48
12;58;40
12;76;63
13;27;69
13;60;11
14;21;17
14;41;45
15;22;71
15;56;31
16;50;65
16;53;65
17;50;11
17;53;16
18;28;82
18;47;82
19;28;73
19;47;92
2;10;42
2;37;43
20;6;54
21;35;38
21;74;95
22;14;87
22;4;19
22;64;87
23;37;10
24;37;7
25;10;49
25;37;49
26;44;28
26;58;87
26;68;27
26;76;47
27;44;84
27;58;13
27;68;63
27;76;84
28;44;32
28;58;13
28;68;63
28;76;63
29;44;32
29;58;61
29;68;63
29;76;63
3;33;7
3;70;7
30;20;93
30;24;57
30;25;28
30;43;18
31;20;87
31;24;34
31;25;77
31;43;74
32;20;93
32;24;21
32;25;86
32;43;74
33;19;51
33;26;84
33;3;20
33;55;32
34;19;74
34;26;8
34;3;20
34;55;8
35;19;51
35;26;72
35;3;19
35;55;27
36;28;25
36;47;25
37;28;94
37;6;91
38;62;44
39;22;41
39;53;29
4;20;46
4;25;72
4;68;48
40;21;36
40;41;26
40;50;14
41;27;39
41;56;41
41;60;37
42;1;24
42;64;38
42;66;95
43;14;61
43;4;19
43;75;33
44;10;5
44;16;56
44;70;78
45;10;76
45;16;56
45;70;10
46;10;76
46;16;56
46;70;9
47;37;35
48;37;30
49;37;52
5;44;48
5;58;46
5;76;48
50;37;3
51;37;15
52;62;80
53;62;2
54;62;60
55;37;83
56;10;1
56;37;79
57;10;70
57;37;1
58;10;70
58;37;12
59;10;22
59;16;67
59;70;53
6;6;81
60;10;22
60;16;67
60;70;53
61;10;62
61;16;67
61;70;22
62;10;4
62;16;67
62;70;62
63;28;23
63;6;64
64;28;50
64;6;55
65;28;50
65;6;55
66;28;23
66;6;50
67;33;58
67;70;6
68;33;6
68;70;58
69;28;85
69;47;60
7;28;66
7;47;82
70;28;85
70;47;60
71;49;45
72;28;85
72;47;23
73;36;20
74;16;56
74;46;88
75;16;56
75;46;89
8;1;90
8;66;61
9;21;59
9;41;59
