1;100TGCAD;1752841;26
6;100TGGIC;1612985;65
1;101TGCAD;1752841;27
6;101TGGIC;1612985;66
1;102TGCAD;1752841;28
1;103TGCAD;1752841;29
6;104TGGIC;1752985;18
6;105TGGIC;1752985;19
6;106TGGIC;1752983;36
6;107TGGIC;1752990;72
2;13ETGBPM;1752996;73
9;166TGSOD;1366195;23
9;167TGSOD;1366195;24
9;180TGSOD;1505297;47
9;181TGSOD;1505297;48
9;182TGSOD;1505297;49
9;184TGSOD;1505297;50
9;185TGSOD;1505297;51
9;186TGSOD;1505290;25
9;188TGSOD;1505287;55
4;18TGGRPP;1612999;71
9;193TGSOD;161296;44
9;194TGSOD;161296;45
9;195TGSOD;161296;46
9;196TGSOD;1612978;59
9;197TGSOD;1612978;60
9;198TGSOD;1612978;61
9;199TGSOD;1612978;62
9;1ETGSONS;1779960;74
4;20TGGRPP;1752847;10
3;24TGPIN3;1505252;9
8;27TGQIN1;1750111;8
5;2ETGGSST;1779962;75
7;2TGPIQD;1507836;21
1;37TGCAN2;1614838;4
1;40TGCAN1;1752828;5
6;54TGGICN;1366192;53
6;56TGGICN;1505292;6
9;57TGSON4;1366194;1
6;58TGGICN;1612995;69
6;59TGGICN;1612995;70
6;62TGGICN;1752984;7
9;62TGSON3;1505309;2
9;63ETGSON;1542864;56
9;64ETGSON;1544832;57
9;65ETGSON;1544825;58
9;68TGSON2;1612983;3
9;69TGSON;1612975;67
9;70TGSON;1612975;68
3;74TGPID;1366197;13
3;78TGPID;1505225;41
8;79TGQID;1617584;22
3;80TGPID;1505237;14
8;80TGQID;1617569;43
3;82TGPID;1612997;15
3;83TGPID;1612987;40
8;84TGQID;1750110;42
1;86TGCAD;1505148;33
1;87TGCAD;1505148;34
3;87TGPID;1752872;16
1;88TGCAD;1505148;35
3;88TGPID;1752872;17
1;89TGCAD;1505185;11
3;89TGPID;1752868;39
6;90TGGICD;1505274;38
1;91TGCAD;1614837;30
6;91TGGICD;1505277;20
1;92TGCAD;1614837;31
6;92TGGICD;1505272;54
1;95ETGCAD;1661311;32
6;96ETGGIC;1539455;52
6;97TGGICD;1612980;37
6;98TGGICD;1612985;63
1;99TGCAD;1752843;12
6;99TGGICD;1612985;64
